name,price,category,rating,review_count,reviews
Westville,$$,Mediterranean,4.2,417,"['I must give Westville maximum stars. The maximum number of stars comes from its cozy and bright dining areas. The maximum endorsement comes from the...', 'Pretty good brunch spot in DUMBO!\n\nGot a couple of market veggies on a platter\n- brussels sprouts with dijon honey was super good, must try this!\n- roasted...', ""This place is a 3.5. It's good but nothing jaw dropping. \n\nI had a great meal for $24 of grilled salmon and pesto mashed potatoes and Moroccan fries. All...""]"
RH Rooftop Restaurant New York,$$$,"American, Wine Bars",4.1,914,"[""A vibe is a vibe is a vibe is a vibe lol \n\nLet's get into this ONE! Hands down one of the best brunches I have been too and yal know I'm a brunch girlie!..."", 'Food (4/5) - I will still be dreaming about the shaved rib-eye on garlic toast. Shared it with my party (we each had half) and was pretty stuffed after......', '$36 for a piece of salmon with no side or plate presentation? Literally just a piece of salmon and a lemon on the plate was insane to see. What is this...']"
Lillo Cucina Italiana,$$,"Cafes, Italian",4.8,223,"['Absolutely loved this place!  Their artichoke appetizer and Cacio Pepe were amazing! I picked this place while I had an 8 hour layover at JFK. Best decision...', 'Do not eat here. The food may be top notch but the service is not. I was treated rudely by who I think was the owner as a solo diner and that is not how you...', 'Went around 2PM on a Saturday, and was able to get a table for 2. Seating seems a bit limited, so there is definitely a chance you may need to take out. It...']"
Very Fresh Noodles,$$,"Taiwanese, Chinese, Noodles",4.4,1541,"['Best hand pulled noodles in NYC! Stopped by Very Fresh Noodles at Chelsea Market and tried their La Mei Taiwanese Beef Noodle Soup (mild) and their Seaweed...', ""If you like Szechuan and looking for a quick meal, Very Fresh Noodles hits the spot. I prefer this spot over Xi'an Famous Foods to be honest. Although..."", ""Let's go! \nThis spot delivered such a fun vibe. \n\nFast paced with your order, great flavor, unique experience for Chelsea market. \n\nLots of fun to try new...""]"
Crab House All You Can Eat Seafood,$$$$,"Buffets, Seafood, Cajun/Creole",4.4,1009,"[""Food is fresh and taste so amazing. Service is fast and great. Nice selection of music. I'm going to continue to come back. I recommend to anyone who loves..."", ""The food was amazing. \nDrinks are great.\nServers are really nice. \nAnd who doesn't love unlimited crab. $80 you can't beat that"", 'I was disappointed with the experience at this establishment. The atmosphere was not conducive to a pleasant dining experience, with people smoking outside...']"
Cecconi's Dumbo,$$$,Italian,3.5,1114,"['Good service, long wait tho. Good food and a really beautiful view of the Brooklyn Bridge', 'Came here for a trip to New York because I heard that this is the best place to see the beautiful Brooklyn Bridge, and I will tell you it did not...', 'Came here on a Friday night with friends. I had been here a few times before and had a good experience, but this time was different. \n\nThe first thing I...']"
Jack's Wife Freda,$$,"Breakfast & Brunch, Mediterranean, New American",3.9,2494,"['The besttttt and flavorful dish ever! My tummy is satisfied  also I got a ginger and lemon tea great sooooo yummy', 'Indulging in breakfast was an absolute delight! Nestled in the heart of Soho, this charming spot boasts an ambiance that effortlessly blends sophistication...', 'I enjoyed the food and ambiance of this restaurant. The interior is decorated so cutely. It has very playful decor and was a great brunch spot. I came in on...']"
Naked Dog,$$,"Italian, Wine Bars, Cocktail Bars",4.5,288,"['The Naked Dog has delicious homemade pasta, my favorites are the short rib ravioli, the mushroom tagliatelle and the agnolotti.  They also make an...', ""Great but not the best bang for your buck.\n\nFood was delicious don't get me wrong, but serving size was quite little in my personal opinion for the amount..."", 'Great fresh food!\nPasta with bolognese is delicious!\nGreat wait staff!\nNice atmosphere!']"
Hojokban,$$$,Korean,4.5,146,"[""I've been here twice and both times were amazing! Service is top notch and food is always great quality. \n\nFor starters I would highly recommend the beef..."", ""The restaurant is beautifully decorated with great mood lighting. It's a great place for a small group meal!\n\nTwo small plates and two main dishes were..."", 'Service \nFood \nAmbiance \n\nWe got the shin ramen cup noodle fried rice, soba, yukwe and EVERYTHING was soo good. I would definitely recommend!!!']"
Ampersand,$$,"Cocktail Bars, New American",4.3,263,"['This place is really a winner (and sorry to sideswipe, but much better than neighboring Globe Bar). Exceptionally crafted cocktails, and an adorable rustic...', 'Went to Ampersand on a Saturday evening around 9:30/10 with one other person. Based on other reviews I had expected (and was dreading) a wait but was...', 'Went out with the hubby to meet up a friend visiting from out of town. It was a Thursday night around 7:30pm. The place was full, but not overly packed. We...']"
Rule of Thirds,$$$,"Japanese, Breakfast & Brunch, Cocktail Bars",4.0,670,"['What an amazing spot. I had been walking by the exterior of this building for a while and thought it looked so cool so I reached out inquiring about hosting...', 'I got a lot of crap over the phone with the reservations person about a 10 people party (2 of them being of children) and even splitting the party in 5 was...', 'Celebrated my birthday at rule of thirds and had a fantastic experience with the food, drink, vibes, and service! They not only started us off with a cute...']"
Win Son,$$,"Taiwanese, New American",4.2,794,"[""We went on a Sunday lunch, and the wait wasn't too long(about 15 minutes?)\n\nI think overall it was good but not something that is on my mind or too crazy...."", 'this place had been on my to try list for a long while so was excited to give it a try. unfortunately will say i was a little underwhelmed given the hype...', '3.5\n\nThis review is for the restaurant and not for the bakery. \n\nAmbiance is a bustling American diner with tight seating but not too overcrowded. \n\nService...']"
Vineapple,$$,"Italian, Cocktail Bars, Breakfast & Brunch",4.3,159,"['I came here for a evening meal with quite a few foodies and wow this place is a hidden gem.\n\nThe great:\n1. Just simply amazing pasta with quite a few...', 'Conveniently placed close to Clark St Station, and a really cute place. Our service was great. Very helpful and friendly server. Food came in good time. The...', 'A classic brunch spot serving classic brunch food, I would recommend Vineapple if you are looking to catch up with a group of friends in a cozy, casual...']"
The Hideaway Seaport,$$,"Bars, New American, Gastropubs",4.1,135,"['Just wanted to give a shout out to the GM Michael for his hospitality and the staff at the Hideaway Seaport. Came here for post work drinks with some...', 'Went for tippling and stayed for food.\n\nGot their apparently world famous bramble was was utterly disappointed. I love brambles and this was not it. \n\nMy...', 'I came here with my date to redeem my drink for the Autumn Tippler as we were in the area. The tippler drink was the Scottish Bramble. The drink was okay....']"
Paesano of Mulberry Street,$$,"Italian, Salad, Seafood",4.1,1523,"['Had the linguine and white clam sauce. Wife had the spaghetti carbonara. Both lunch portions were huge. The cream sauce on the carbonara was amazing....', 'Service was great and ambiance was just like an Italian trattoria.  But unfortunately, the food fell short. \n\nUnder seasoned and food was not quite there.', ""Came here at 8:30pm for dinner on a weeknight. The restaurant was packed but the friendly host greeted us and assured we'd be seated in a timely manner. We...""]"
Otis,$$$,"New American, Cocktail Bars",4.8,558,"[""After some really outstanding experiences, Otis has become one of my favorite places in all of Brooklyn. They've shined bright with their exceptional..."", ""Otis in Brooklyn offers a delightful dining experience that seamlessly blends comfort with sophistication. As you step inside, you're enveloped by a warm..."", 'Absolute perfection from start to finish.  Came here for a pre Theater XIV dinner and was impressed from the moment I arrived to the moment I left. \n\nOur...']"
Seamore’s Dumbo,$$,"Seafood, Cocktail Bars, Breakfast & Brunch",3.9,218,"[""Honestly didn't know this location existed until I came across it when searching for local trivia night spots!\n\nI've been to a couple of the other Seamore's..."", ""Everything we had was very yummy!! It's a breath of fresh air to go out for dinner and try a new place and the food is amazing and taste fresh. \n\n- clam..."", ""Seafood and Live Jazz on Tuesday's in Brooklyn? Sign me up! \n\nService was great. A little empty, but a great spot boardering the Time Out Market in Dumbo....""]"
Au Cheval,$$$,"Burgers, New American, Cocktail Bars",4.3,983,"[""I can't recommend Au Cheval enough. I have been lucky enough to experience both NYC and Chicago locations and I'm thrilled to say their commitment to..."", ""Service is decent speed \nPlace environment for group setting not really for couple style , seating isn't comfortable. \nFood too over salty and oily . \nIt's..."", ""Tragically cool place. The staff and the guests were all so pretty too. I was totally out of place there, but the food was good. I'll say I've had better...""]"
Torrisi,$$$$,Italian,4.6,200,"['Had the pleasure of dining at Torrisi and it was one of my favorite meals in 2024 so far.\n\nPlace is located in SoHo, large and has a slight formal/intimate...', 'Came here for brunch on a weekend. The interior design was immaculate. The server was also so helpful as it was our first time here!\n\nWe got:\nCucumbers New...', 'Decor wonderful. Service great. Food delicious. \n\nClam Boule was damn good\nHam selection with zeppoli was good but you can pass for another app. \nLinguine...']"
LĒNA,$$,"French, Wine Bars, Cocktail Bars",4.5,235,"['Came here for dinner but was pretty disappointed. The service was very attentive and I have nothing bad to say about that. Our waitress came over to check...', 'If you\'ve read more than a few of my reviews, you have seen me write ""this is MY New York.""\n\nAs I wander the city, I currently find new places that feel as...', 'Classics done to perfection \n\xa0\nCliff notes -- 10/10 would recommend, the atmosphere was fun, lively but not obnoxious. There was everyone from a birthday...']"
Upstate Craft Beer & Oyster Bar,$$,Seafood,4.4,2065,"[""This place truly got better with time. It's been a long time since we've visted, but I'm glad to see they're thriving. \n\nMy husband and I came here on a..."", ""I'd say solid 3 stars compared to similar places in Manhattan. I'd bump it up to 3.5 for the Branzino alone!\n\nOrdered:\n* 2 Upstate Dubbels (Belgian beer) \n*..."", 'Everything was good except for the squid ink pasta. It was way too salty.\n\nThe oysters happy hour and clam pasta was great though! Would come back again.']"
Ruby's Cafe - East Village,$$,"Australian, Breakfast & Brunch, Burgers",4.4,446,"[""***Great Service, Delicious Food, Outdoor Seating Review***\n\nRuby's is dog friendly and there's plenty of outdoor seating available. The service was great..."", ""I love Ruby's food, but their service here really stunk!\n\nCompared to the first location I had in Soho, this location was stunning. It was much roomier with..."", ""Yummy Food & Good Service\n\nI went to Ruby's as part of a big party (10 people), and received excellent service. The waiter was patient and we received our...""]"
Gelso & Grand,$$,"Italian, Pasta Shops, Pizza",4.3,1507,"['the homemade spaghetti pomodoro with meatballs and the spicy kale cesear salad was soooooooo good!!! 10/10 would recommend ‼', 'We went here with a couple friends and we were happy with the food, service and overall experience at Gelso and Grand. We went in around 7:30pm on a weekday...', ""Ordered charcuterie plate. Hands down the worst prosciutto I've ever had. Would have preferred prosciutto from cold cut section at Gristedes. Their...""]"
YunShang Rice Noodle House,$$,"Chinese, Noodles, Asian Fusion",4.1,392,"['Amazing service! Had a problem with our order and they helped us. The tomato broth light, tangy and delicious.', 'Food/Drink: so full for only $12?! LOVED the pickled cabbage! \n\nService: fast service! \n\nAtmosphere: busy and medium loudness! Messy bathroom but it was...', ""The ambiance seems calm. The tables are spaced far enough apart that even when fuller, the restaurant isn't too loud. Service was okay and the food didn't...""]"
Sama Street,$$$,"Cocktail Bars, Pan Asian, Tapas/Small Plates",4.8,216,"['Sama Street is the perfect place for all your innovative, delicious, and fun drinks. Each round of drinks was a surprise and better than the last round. I...', ""Sama Street in Greenpoint offers a cozy and intimate space with a touch of creativity that can't be missed. As soon as you step inside, you're welcomed by..."", 'As part of our self-led bar crawl, my group of friends and I went on a long meandering walk from Williamsburg deep into Greenpoint for Sama Street. Without...']"
Kimura,$$$,"Japanese, Hot Pot, Sushi Bars",4.5,430,"['We arrived to Kimura 10min before opening on a weekend and there were 3 parties in front of us in line. They opened on time and there were no issues getting...', 'I like their grilled squid but hot pot is the obvious star here. The Pork Belly Nabe despite its name also has a plentiful amount of vegetables. I...', 'I am so excited to write this review! My husband and I were in the mood for sushi and hot pot so we decided to try this place out. Holy moly ! The that...']"
Esme,$$,"New American, Cocktail Bars",4.3,415,"[""I've been to Esme twice, once for dinner and once for brunch. Both menus are so delicious! One of the best things about Esme is that you get upscale..."", 'We had the fish, burger and pork chop.\n\nOnly the burger was good as it was well cooked and did have Reuben flavors.\n\nThe pork chop was very overcooked and...', ""I'm usually not a brunch person at all, so was really surprised about the quality of food here! \n\nI got the fried chicken sandwich, and the chicken had a...""]"
Leitao,$$$,"Portuguese, Cocktail Bars, Beer, Wine & Spirits",4.6,168,"['When I give a star review, its serious. (and rarely do I)\nAmbiance was gentle but so lively- for some reason. The staff were ever so lovely! Frank (The...', 'Really cute restaurant! Inside was smaller/narrower than expected, but they have outdoor space both in the front and back of the restaurant. \n\nWe started...', 'Great Portuguese food! We came for brunch on a Sunday. I would suggest an inside table as we were disturbed by loud traffic in the outdoor dining tables. We...']"
Zou Zou’s,$$$,"Mediterranean, Cocktail Bars, New American",4.2,366,"['Dawson the bartender took care of us. He had amazing recommendations and was very welcoming.', 'I wish I could give this 10 stars.\nI love everything about this place and after being there 4 times i can confidently say it is very consistent.\n\nLEGIT...', 'Plenty of food here with a big menu and creative dishes. It is a Mediterranean restaurant with a modern twist. Tables are a bit close and dark ambiance....']"
Al Badawi,$$,Middle Eastern,4.4,199,"[""Excellent ambience, very tasty food if you're into Mediterranean or Middle Eastern cuisine. BYOB."", 'This is one of my favourite restaurants in NYC. I have been known to order it en route home from the airport after a business trip and want to eat something...', ""This place was amazing and lived up to the hype. I left completely satisfied. Not only was the food and service great, but it's also a really pretty...""]"
The Reading Room,$$$,"New American, Cocktail Bars, Breakfast & Brunch",4.5,129,"[""Love the Reading Room! This is now my go to place by Grand Central. Their cocktails are wonderful as is their food. I've had the cheese board a number of..."", ""Met a friend for brunch here on a Saturday. The space itself is in the bottom of a hotel (I was confused at first). It's warm and inviting... very relaxed..."", 'A tiny but gorgeous restaurant inside the Gotham hotel. Reservation is a must for lunch or dinner. The restaurant is decorated with shelves of books to...']"
Izakaya MEW,$$,"Tapas Bars, Sushi Bars, Izakaya",4.3,2979,"['Always consistently amazing Japanese food! More than just sushi, it serves traditional Japanese Bar food. This place is always packed but, the service is...', 'Definite good food! Warm service as well. I pretty much enjoy the vibe as well. Will go there again.', 'Finally made my way to Izakaya MEW and I already want to come back. This hidden spot under the basement has so much variety with Asian-inspired dishes....']"
5ive Spice,$$,"Vietnamese, Tacos, Sandwiches",4.6,757,"['This place is beyond my imagination, the environment is lovely and the food is great. If you are a veganism person , you should try the vegan pho, the...', ""Was around the area looking for a bite to grab before heading to my airbnb. My sister was grabbing food a few doors down but it didn't catch my attention. I..."", 'Very average. Based on the reviews I was hoping to love the pho here, but it just was lacking flavor and was overpriced for the amount of meat and noodles....']"
Gatsby's Landing Times Square,$$$,New American,4.3,167,"['Great food. \n\nCambria (waitress) was EXCELLENT. \n\nThis place has a good vibe and it was a great experience.', ""Came back here for a business lunch and the ambiance is still good. \n\nAppetizers:\n- Romaine salad: heavily dressed but tasty (I'm not a big dressing fan)..."", 'Pros: \n- delicious, wide selection of food\n- friendly, quick service\n- easy to make reservations on Open Table\n- located in midtown and are respectful of...']"
Atti,$$$$,"Korean, Barbeque, Desserts",4.3,92,"['4 1/2 stars would be my review if I could but given the inability to do so, I will round up for the level of service we received overall.\n\nReally enjoyed...', 'Ambiance is nice, food is okay. The feast at $75 a person is pricey, but I think the meat quality could have been better - the wagyu was only the standout...', 'About a 2-2.5: Atti is a KBBQ place that offers hansangs and a la carte meat options, apps, and sides.\n\nWe went for the Kalbi Hansang, which was described...']"
Chef Katsu Brooklyn,$$,"Pop-Up Restaurants, Burgers, Cooking Classes",4.3,111,"['Very fresh and yummy food!\nI ordered the Katsu Salmon Burger and the cabbage was the perfect crunch to contrast the rich flavors of the salmon.\nThe...', ""I'm hoping today was an off day for Chef Katsu, but both the Japanese fried chicken burger and salmon katsu burger were incredibly flavorless. All we tasted..."", 'Came on a Tuesday afternoon, and it was packed. There were people waiting to be seated while others just got takeout. Definitely come earlier if you want to...']"
Thai Diner,$$,Thai,4.1,883,"[""We came here for dinner since it was on my bucket list for awhile and they did not disappoint! \n\nWe didn't eat inside the restaurant , instead we ate inside..."", 'Thai Diner has a lot of popularity and hype right now so wait times are long - expect about an hour wait minimum for a table for 4 on a Friday evening. We...', ""Food/Drink: yum!!! Especially the catfish & overall menu has a unique concept with fusion dishes \n\nService: Just okay - if you sit outside, you'll have to...""]"
Piccola Cucina Osteria,$$,Italian,4.3,816,"[""Found this by a fluke of google searches. Couldn't ask for more. We had a reservation, they were packed, they have outdoor and indoor seating, indoor is..."", 'We came here for the table side tiramisu service. Ordered a chicken salad to start which was ok, though it was a large portion. For the crowd-pleaser, we...', 'Decent place with decent dishes, but none of them blew my mind... except for the bread, we had so much.\n\nComplementary bread (5/5) - The bread was baked...']"
Dutch Freds,$$,"Cocktail Bars, New American, Breakfast & Brunch",4.5,2102,"['I took my girlfriend to this restaurant after catching a broadway play last Tuesday, we ended up sitting at the bar to grab some drinks and the bartender...', ""Hi everyone \nMy honest review of this place, firstly I'm a foodie & I love a good drink!!! Ok firstly pls pls loose the Christmas flowers .... There are..."", 'Nestled in the heart of the city, this hidden gem promises an unparalleled dining experience that goes beyond the ordinary. The understated elegance of the...']"
Trapizzino,$$,"Italian, Wine Bars, Cocktail Bars",4.4,325,"['YEESSSS! \n\nSuch a good restaurant. We has an amazing waiter and the food and drinks were amazing. Endive salad was my fav. \n\nRecommend.', 'I enjoyed a lovely lunch date at Trapezzino, an Italian cafe focusing on trapezzini, a Roman street food shaped like a triangular focaccia pizza pocket with...', ""Tried this spot for my friend's birthday and it did not disappoint! The oxtail was our favorite, would definitely come back for that one! The ricotta balls...""]"
Ammazzacaffè,$$,"Cocktail Bars, Italian, Wine Bars",4.3,349,"['Some folks might be quick to assume Ammazzacaffè is some kind of play on words to suggest an ""Amazing Cafe"" but it\'s actually an Italian term for a...', 'Title: ""Ambience Over Taste at Ammazzacaffè""\n\nNestled in New York\'s vibrant streets lies Ammazzacaffè, an Italian nook where ambiance outshines the cuisine....', ""Came here for my friends birthday party and definitely has an upscale backyard? Vibe. It's a good venue for hosting larger parties and events. Staff were...""]"
Em Vietnamese Bistro,$$,"Vietnamese, Noodles, Seafood",4.3,183,"[""Soothing, zen atmosphere with incredible chicken wings, watermelon cooler slushie, and beef pho. Can't wait to come back and have all of this again, plus..."", 'i really wanted to like this, place, and want to support local business, but I did not enjoy my recent takeaway lunch.\n\nI ordered a grilled pork chop on...', ""Em Vietnamese Bistro is a fairly new restaurant in the Dumbo neighborhood. After it's opening, I've heard numerous recommendations to try it out because the...""]"
Aoi Kitchen,$$,"Izakaya, Japanese Curry",4.3,293,"[""Can't believe I've been sleeping on this place for this long. It's been saved in my list for years. Literally walking in I was getting Japan vibes. From the..."", ""I forgot how I first heard about AOI but it's been on my list for a while, and I finally had the chance to come by for a late dinner last week with some..."", 'Food (3/5) - I have only seen omurice in pictures and have been dying to try one for the longest time. This was pretty well executed - runny in the middle...']"
High Lúa Vietnamese Kitchen,$$,Vietnamese,4.3,320,"['Great pho and really good bun thit nuong. I wish they put a cha gio roll like they do everywhere in Vietnam, or at least offered the add on.', 'High Lua in Williamsburg brings the flavors of Vietnam to the city. I tried their Bún bò Huế, and it was bursting with flavor--homemade goodness in every...', 'called in for a pick up order of their grilled pork vermicelli bowl. the call was quick and clear. pick up in 20 mins. i got there after and it was indeed...']"
Worthwild,$$,"Bars, American, Breakfast & Brunch",4.3,183,"['Jennings took care of us and make our experience 10x more lovely. Great service, unique decoration, and really cute bathrooms? Darling!!', 'Great place! Loved our spot with the table in the front window corner. Nice Saturday brunch place. The short rib polenta was rich and yummy. The fried green...', ""I will start by saying the pork belly was stellar, like some of the best pork belly I've ever had. It's not enough as a stand alone dish for dinner but it's...""]"
Dim Sum Palace,$$,Dim Sum,4.1,97,"[""This place is so, so good!  \n\nI was craving dumplings and a lot of nearby places were closed or packed. I ended up here, and I'm so glad I did!\n\nI ordered 5..."", ""I came here on the Sunday after Lunar New Year. I came with 5 friends and we were told it'd be a 1 hour wait but we ended up waiting for 20 minutes! \n\nWhat..."", 'I was looking for places eat at Chinatown and this place stood out. It did not disappoint. The food was pretty tasty that even my teenager who is so picky...']"
Los Tacos No. 1,$$,Tacos,4.6,469,"[""Coming from California I never thought I'd find the best tacos I've ever eaten here in NYC. Carne asada and adoboda were both phenomenal.\n\nI wolfed down..."", 'Long line and fast service means great tacos. \n\nIt was standing room only and worth the wait.', ""so , this place has a breakfast burrito cart outside of the restaurant before opening . It's from 8-11am . IF YOU KNOW YOU KNOW . \n\nIt's one of the best...""]"
La Contenta,$$,"Mexican, Bars, Breakfast & Brunch",4.5,916,"[""When I moved to NY I was already aware that there isn't good Mexican food in the city. It doesn't help that I'm also very picky because I grew up with..."", 'Getting seated here was disorganized and unpleasant. I had a reservation and was initially led to one table but then had to stand around while the waitstaff...', 'Very impressed with this place! I had to make a fairly large reservation, and they were very nice accommodating me every step of the way as I kept changing...']"
Din Soup Dumplings,$$,"Dim Sum, Noodles",4.5,240,"['Wow. This really might become my favorite dim sum place. Also a dim sum lunch special!? Yes please!! I got the 5pc pork soup dumplings + 4pc scallion...', ""Really enjoyed the pork soup dumplings! They were the best I've ever had (and I eat them whenever I can)! I'd go next time and get three orders!\n\nWe had bbq..."", ""I came in with some friends on a Tuesday night for dinner. It's a nice little spot tucked on the second level above another shop. We had the pork soup...""]"
Taboonette,$$,"Mediterranean, Middle Eastern, New American",4.3,1044,"['falafel and chips great\ngirl at the front is rlly nice\namerican breakfast covered in ketchup and i didnt even have to ask 10/10', 'Came here for dinner and had a pleasant experience.\n\nThis is a smaller, hole-in-the-wall kind of place with a decent sized menu. My friend got the shawarma...', 'i enjoyed my salmon plate for lunch! It was the perfect amount of food! Ingredients tasted fresh and the rice was especially delicious. The white sauce was...']"
